timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
159000,2.949,1.89,0.137,0.096,0.015,0.009,0.586,0.157
160000,4.567,1.97,0.132,0.109,0.019,0.006,0.575,0.159
161000,3.974,1.84,0.117,0.113,0.018,0.006,0.6,0.146
162000,5.386,1.72,0.147,0.106,0.015,0.008,0.578,0.146
163000,1.573,1.77,0.163,0.096,0.008,0.005,0.598,0.13
164000,2.447,2.0,0.13,0.107,0.022,0.007,0.572,0.162
165000,4.515,1.78,0.17,0.086,0.015,0.003,0.602,0.124
166000,4.483,1.96,0.144,0.105,0.009,0.001,0.589,0.152
167000,4.432,1.79,0.142,0.09,0.016,0.007,0.587,0.158
168000,3.948,1.95,0.151,0.094,0.014,0.005,0.592,0.144
169000,5.769,1.92,0.134,0.105,0.01,0.006,0.592,0.153
170000,0.35,1.78,0.146,0.094,0.011,0.009,0.593,0.147
171000,3.1102,1.92,0.136,0.102,0.015,0.006,0.599,0.142
172000,3.118,1.79,0.156,0.103,0.006,0.005,0.589,0.141
173000,5.133,1.88,0.133,0.11,0.019,0.005,0.599,0.134
174000,1.787,1.8,0.151,0.088,0.014,0.005,0.611,0.131
175000,2.319,1.83,0.151,0.094,0.014,0.004,0.591,0.146
176000,3.179,1.95,0.148,0.092,0.016,0.003,0.602,0.139
177000,4.652,1.68,0.163,0.081,0.011,0.005,0.594,0.146
178000,5.2834,1.93,0.14,0.094,0.018,0.002,0.601,0.145
179000,2.1202,1.93,0.146,0.099,0.013,0.004,0.597,0.141
180000,3.764,1.78,0.165,0.084,0.016,0.003,0.587,0.145
181000,0.4652,1.84,0.141,0.105,0.014,0.005,0.585,0.15
182000,3.018,1.84,0.163,0.087,0.012,0.003,0.597,0.138
183000,2.837,1.84,0.12,0.095,0.019,0.002,0.595,0.169
184000,2.893,1.72,0.134,0.099,0.021,0.003,0.589,0.154
185000,2.361,1.86,0.16,0.077,0.022,0.006,0.588,0.147
186000,2.626,1.91,0.139,0.089,0.025,0.004,0.583,0.16
187000,3.782,1.73,0.148,0.085,0.023,0.003,0.58,0.161
188000,2.393,1.93,0.148,0.086,0.021,0.002,0.575,0.168
189000,1.5464,1.83,0.155,0.084,0.029,0.005,0.564,0.163
190000,2.793,1.79,0.164,0.091,0.017,0.002,0.581,0.145
191000,4.484,1.85,0.156,0.076,0.028,0.001,0.589,0.15
192000,3.612,1.82,0.142,0.088,0.024,0.002,0.583,0.161
