phase,timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
2,675809,1.4208,1.66,0.099,0.169,0.032,0.01,0.441,0.249
2,676809,1.21,1.73,0.108,0.173,0.049,0.005,0.422,0.243
2,677809,-0.6612,1.67,0.126,0.161,0.047,0.009,0.434,0.223
2,678809,0.94,1.71,0.105,0.181,0.05,0.005,0.423,0.236
2,679809,3.094,1.77,0.114,0.168,0.048,0.013,0.431,0.226
2,680809,1.144,1.66,0.112,0.171,0.049,0.01,0.443,0.215
2,681809,1.1432,1.75,0.126,0.175,0.048,0.005,0.42,0.226
2,682809,-0.194,1.53,0.104,0.167,0.044,0.013,0.45,0.222
2,683809,0.67,1.64,0.113,0.163,0.056,0.006,0.45,0.212
2,684809,1.522,1.63,0.126,0.146,0.047,0.009,0.452,0.22
2,685809,1.1732,1.65,0.14,0.177,0.038,0.009,0.419,0.217
2,686809,0.552,1.7,0.123,0.147,0.04,0.002,0.459,0.229
2,687809,0.368,1.54,0.133,0.152,0.037,0.01,0.45,0.218
2,688809,0.828,1.7,0.119,0.171,0.04,0.01,0.435,0.225
2,689809,1.2948,1.69,0.105,0.157,0.056,0.011,0.457,0.214
2,690809,1.288,1.56,0.139,0.138,0.043,0.004,0.459,0.217
2,691809,2.006,1.75,0.138,0.158,0.046,0.011,0.447,0.2
2,692809,0.208,1.66,0.134,0.159,0.05,0.005,0.445,0.207
2,693809,-0.78,1.63,0.159,0.134,0.047,0.008,0.45,0.202
2,694809,0.716,1.64,0.142,0.136,0.046,0.005,0.465,0.206
2,695809,0.442,1.61,0.151,0.139,0.05,0.004,0.457,0.199
2,696809,0.512,1.63,0.136,0.157,0.049,0.004,0.448,0.206
2,697809,0.558,1.54,0.148,0.151,0.05,0.007,0.448,0.196
2,698809,1.132,1.64,0.144,0.141,0.044,0.006,0.46,0.205
2,699809,0.298,1.63,0.169,0.152,0.052,0.009,0.429,0.189
2,700809,1.756,1.66,0.146,0.128,0.064,0.011,0.457,0.194
2,701809,-0.2,1.64,0.152,0.133,0.079,0.011,0.443,0.182
2,702809,0.492,1.63,0.142,0.141,0.048,0.011,0.459,0.199
2,703809,0.014,1.64,0.118,0.143,0.074,0.007,0.459,0.199
2,704809,1.006,1.6,0.15,0.125,0.063,0.008,0.468,0.186
2,705809,-1.3788,1.69,0.146,0.131,0.065,0.01,0.452,0.196
2,706809,0.77,1.63,0.15,0.13,0.063,0.009,0.454,0.194
2,707809,0.8732,1.59,0.169,0.12,0.056,0.007,0.462,0.186
2,708809,0.418,1.65,0.156,0.13,0.076,0.017,0.437,0.184
2,709809,-0.3408,1.61,0.14,0.119,0.075,0.012,0.467,0.187
2,710809,1.4904,1.65,0.155,0.121,0.062,0.012,0.466,0.184
2,711809,-0.162,1.67,0.149,0.119,0.08,0.014,0.474,0.164
2,712809,0.372,1.49,0.148,0.117,0.081,0.014,0.463,0.177
2,713809,1.006,1.56,0.158,0.103,0.085,0.016,0.459,0.179
2,714809,-0.416,1.57,0.174,0.107,0.069,0.004,0.471,0.175
2,715809,1.122,1.58,0.161,0.099,0.077,0.008,0.481,0.174
2,716809,0.542,1.55,0.175,0.108,0.065,0.009,0.472,0.171
2,717809,0.282,1.54,0.166,0.123,0.062,0.011,0.466,0.172
2,718809,-0.088,1.59,0.16,0.115,0.078,0.009,0.459,0.179
2,719809,0.646,1.62,0.157,0.121,0.074,0.01,0.449,0.189
2,720809,-0.0768,1.6,0.147,0.138,0.067,0.008,0.452,0.188
2,721809,1.41,1.58,0.154,0.124,0.073,0.007,0.454,0.188
2,722809,2.096,1.62,0.144,0.129,0.068,0.002,0.46,0.197
2,723809,1.5,1.67,0.156,0.114,0.068,0.01,0.474,0.178
2,724809,2.456,1.62,0.167,0.107,0.065,0.012,0.464,0.185
2,725809,0.354,1.45,0.187,0.103,0.069,0.005,0.457,0.179
2,726809,0.332,1.55,0.175,0.103,0.079,0.004,0.467,0.172
2,727809,-0.002,1.52,0.165,0.113,0.058,0.006,0.47,0.188
2,728809,0.89,1.52,0.157,0.117,0.073,0.012,0.461,0.18
2,729809,2.0428,1.59,0.134,0.096,0.063,0.011,0.497,0.199
2,730809,-0.284,1.47,0.173,0.098,0.074,0.013,0.46,0.182
2,731809,0.872,1.61,0.148,0.103,0.077,0.011,0.477,0.184
2,732809,1.178,1.49,0.17,0.089,0.07,0.009,0.47,0.192
2,733809,1.2654,1.48,0.168,0.086,0.061,0.008,0.478,0.199
2,734809,-0.286,1.68,0.167,0.078,0.072,0.009,0.498,0.176
2,735809,0.8088,1.58,0.172,0.078,0.081,0.009,0.478,0.182
2,736809,0.904,1.5,0.178,0.088,0.083,0.008,0.476,0.167
2,737809,0.976,1.63,0.14,0.084,0.084,0.008,0.498,0.186
2,738809,0.922,1.55,0.175,0.093,0.073,0.012,0.464,0.183
2,739809,0.742,1.58,0.171,0.091,0.067,0.011,0.489,0.171
2,740809,1.148,1.49,0.16,0.097,0.076,0.013,0.478,0.176
2,741809,1.019,1.38,0.181,0.089,0.073,0.003,0.472,0.182
2,742809,2.046,1.48,0.168,0.087,0.065,0.008,0.485,0.187
2,743809,0.56,1.55,0.173,0.074,0.082,0.008,0.478,0.185
2,744809,1.106,1.53,0.192,0.069,0.075,0.004,0.48,0.18
2,745809,0.89,1.34,0.159,0.074,0.082,0.008,0.49,0.187
2,746809,-0.162,1.58,0.165,0.078,0.093,0.013,0.475,0.176
2,747809,0.022,1.5,0.174,0.08,0.097,0.012,0.472,0.165
2,748809,1.504,1.52,0.173,0.082,0.09,0.003,0.479,0.173
2,749809,0.3194,1.48,0.165,0.071,0.087,0.008,0.493,0.176
2,750809,1.368,1.6,0.178,0.056,0.095,0.006,0.496,0.169
2,751809,0.562,1.47,0.17,0.068,0.098,0.007,0.492,0.165
2,752809,0.071,1.53,0.191,0.063,0.094,0.008,0.475,0.169
2,753809,0.302,1.4,0.192,0.065,0.095,0.011,0.488,0.149
2,754809,-0.338,1.5,0.185,0.057,0.094,0.008,0.496,0.16
2,755809,0.636,1.51,0.175,0.055,0.103,0.014,0.489,0.164
2,756809,-0.0188,1.43,0.199,0.06,0.094,0.01,0.498,0.139
2,757809,1.5714,1.53,0.19,0.061,0.088,0.013,0.501,0.147
2,758809,0.258,1.49,0.186,0.066,0.094,0.001,0.499,0.154
2,759809,-0.024,1.46,0.2,0.061,0.098,0.01,0.48,0.151
2,760809,1.492,1.52,0.17,0.056,0.101,0.008,0.495,0.17
2,761809,1.6752,1.5,0.195,0.071,0.098,0.01,0.481,0.145
2,762809,-0.8418,1.47,0.188,0.063,0.091,0.009,0.496,0.153
2,763809,0.794,1.51,0.179,0.057,0.088,0.006,0.498,0.172
2,764809,0.2906,1.49,0.166,0.055,0.103,0.01,0.504,0.162
2,765809,1.3332,1.5,0.185,0.04,0.106,0.007,0.498,0.164
2,766809,-0.09,1.51,0.184,0.045,0.095,0.007,0.516,0.153
2,767809,0.596,1.44,0.171,0.046,0.092,0.015,0.511,0.165
2,768809,1.34,1.46,0.187,0.04,0.114,0.007,0.503,0.149
2,769809,0.886,1.5,0.163,0.059,0.113,0.006,0.508,0.151
2,770809,-0.53,1.43,0.211,0.04,0.105,0.011,0.501,0.132
2,771809,0.788,1.44,0.169,0.047,0.109,0.014,0.496,0.165
2,772809,0.574,1.51,0.197,0.049,0.096,0.009,0.499,0.15
2,773809,0.858,1.45,0.197,0.046,0.083,0.01,0.502,0.162
2,774809,0.092,1.5,0.177,0.05,0.119,0.007,0.506,0.141
2,775809,1.96,1.48,0.174,0.036,0.097,0.011,0.503,0.179
2,776809,0.33,1.46,0.172,0.045,0.099,0.006,0.509,0.169
2,777809,0.717,1.39,0.199,0.034,0.109,0.008,0.506,0.144
2,778809,0.754,1.36,0.182,0.05,0.112,0.007,0.508,0.141
2,779809,1.914,1.4,0.176,0.043,0.109,0.003,0.508,0.161
2,780809,0.682,1.45,0.173,0.042,0.101,0.01,0.514,0.16
2,781809,0.838,1.5,0.186,0.043,0.091,0.008,0.508,0.164
2,782809,0.0426,1.57,0.183,0.05,0.104,0.007,0.495,0.161
2,783809,1.902,1.56,0.163,0.047,0.097,0.01,0.518,0.165
2,784809,0.064,1.62,0.151,0.039,0.112,0.01,0.52,0.168
2,785809,0.5292,1.42,0.151,0.038,0.121,0.015,0.515,0.16
2,786809,0.518,1.4,0.17,0.041,0.121,0.013,0.508,0.147
2,787809,0.8172,1.55,0.175,0.042,0.11,0.017,0.51,0.146
2,788809,0.6778,1.48,0.185,0.038,0.108,0.015,0.511,0.143
2,789809,1.413,1.49,0.158,0.041,0.131,0.011,0.515,0.144
2,790809,1.9872,1.46,0.152,0.034,0.127,0.015,0.515,0.157
2,791809,1.084,1.45,0.168,0.032,0.13,0.013,0.519,0.138
2,792809,0.532,1.46,0.166,0.044,0.132,0.015,0.498,0.145
2,793809,-0.122,1.42,0.145,0.049,0.124,0.006,0.524,0.152
2,794809,0.9012,1.62,0.168,0.046,0.128,0.015,0.504,0.139
2,795809,0.362,1.63,0.172,0.037,0.111,0.018,0.512,0.15
2,796809,1.318,1.5,0.158,0.034,0.113,0.01,0.524,0.161
2,797809,0.262,1.46,0.154,0.036,0.129,0.016,0.508,0.157
2,798809,0.38,1.49,0.165,0.041,0.125,0.017,0.5,0.152
2,799809,0.5494,1.56,0.152,0.048,0.132,0.022,0.501,0.145
2,800809,0.73,1.46,0.162,0.042,0.12,0.013,0.511,0.152
2,801809,0.9278,1.44,0.174,0.05,0.14,0.015,0.49,0.131
2,802809,-0.04,1.5,0.155,0.042,0.117,0.016,0.511,0.159
2,803809,-0.302,1.5,0.121,0.058,0.13,0.025,0.502,0.164
2,804809,1.794,1.46,0.144,0.046,0.134,0.019,0.498,0.159
2,805809,0.3132,1.48,0.14,0.043,0.119,0.029,0.509,0.16
2,806809,0.794,1.53,0.137,0.042,0.133,0.028,0.513,0.147
2,807809,1.88,1.41,0.143,0.045,0.129,0.031,0.504,0.148
2,808809,0.63,1.49,0.137,0.041,0.142,0.033,0.505,0.142
2,809809,1.3512,1.37,0.131,0.04,0.133,0.027,0.512,0.157
2,810809,0.6404,1.56,0.142,0.049,0.116,0.029,0.512,0.152
2,811809,0.3702,1.48,0.144,0.031,0.151,0.038,0.496,0.14
2,812809,1.3932,1.43,0.124,0.044,0.126,0.026,0.508,0.172
2,813809,-0.286,1.58,0.119,0.057,0.144,0.03,0.513,0.137
2,814809,1.408,1.52,0.121,0.046,0.131,0.035,0.503,0.164
2,815809,1.246,1.62,0.124,0.042,0.152,0.042,0.487,0.153
2,816809,2.3212,1.5,0.131,0.045,0.127,0.036,0.51,0.151
2,817809,0.47,1.58,0.101,0.043,0.145,0.05,0.507,0.154
2,818809,0.8038,1.62,0.126,0.047,0.138,0.042,0.504,0.143
2,819809,0.606,1.42,0.116,0.041,0.152,0.038,0.507,0.146
2,820809,0.9812,1.43,0.126,0.045,0.161,0.033,0.503,0.132
2,821809,0.9572,1.54,0.131,0.048,0.15,0.035,0.499,0.137
2,822809,0.072,1.65,0.108,0.049,0.158,0.038,0.51,0.137
2,823809,-0.2888,1.54,0.119,0.05,0.176,0.028,0.491,0.136
2,824809,0.122,1.58,0.114,0.054,0.144,0.034,0.501,0.153
2,825809,-0.076,1.56,0.126,0.046,0.15,0.037,0.498,0.143
2,826809,2.1286,1.51,0.116,0.05,0.158,0.03,0.498,0.148
2,827809,0.127,1.6,0.119,0.032,0.145,0.04,0.503,0.161
2,828809,1.733,1.43,0.121,0.04,0.153,0.045,0.488,0.153
2,829809,0.649,1.48,0.105,0.038,0.162,0.033,0.505,0.157
2,830809,0.667,1.64,0.12,0.036,0.153,0.038,0.498,0.155
2,831809,0.384,1.51,0.122,0.035,0.17,0.032,0.497,0.144
2,832809,0.45,1.55,0.112,0.046,0.157,0.041,0.495,0.149
2,833809,0.6968,1.55,0.134,0.032,0.146,0.046,0.491,0.151
2,834809,0.3818,1.66,0.141,0.039,0.138,0.046,0.484,0.152
2,835809,1.7332,1.52,0.134,0.038,0.142,0.053,0.483,0.15
2,836809,0.5658,1.43,0.136,0.044,0.139,0.047,0.486,0.148
2,837809,0.576,1.5,0.129,0.047,0.139,0.06,0.492,0.133
2,838809,-0.631,1.62,0.134,0.054,0.138,0.041,0.484,0.149
2,839809,0.0686,1.48,0.128,0.055,0.135,0.051,0.479,0.152
2,840809,-0.8016,1.53,0.144,0.041,0.143,0.041,0.487,0.144
2,841809,0.8926,1.53,0.146,0.043,0.11,0.059,0.489,0.153
2,842809,0.5518,1.5,0.137,0.05,0.143,0.053,0.474,0.143
2,843809,1.0258,1.63,0.133,0.042,0.143,0.058,0.478,0.146
2,844809,-0.626,1.49,0.149,0.047,0.123,0.056,0.477,0.148
2,845809,-0.1766,1.66,0.14,0.036,0.143,0.047,0.485,0.149
2,846809,2.41,1.56,0.152,0.054,0.11,0.047,0.483,0.154
2,847809,1.736,1.51,0.152,0.032,0.131,0.043,0.474,0.168
2,848809,-1.351,1.64,0.136,0.058,0.115,0.049,0.486,0.156
2,849809,0.307,1.48,0.136,0.046,0.132,0.041,0.482,0.163
2,850809,2.191,1.68,0.158,0.04,0.139,0.036,0.477,0.15
2,851809,2.4222,1.67,0.155,0.04,0.101,0.049,0.486,0.169
2,852809,0.586,1.56,0.16,0.054,0.106,0.05,0.48,0.15
2,853809,1.382,1.55,0.137,0.049,0.13,0.025,0.49,0.169
2,854809,-0.653,1.63,0.187,0.038,0.113,0.038,0.466,0.158
2,855809,-0.4408,1.58,0.165,0.042,0.122,0.042,0.471,0.158
2,856809,0.6136,1.56,0.186,0.042,0.118,0.041,0.462,0.151
2,857809,0.9772,1.45,0.156,0.04,0.138,0.037,0.474,0.155
2,858809,0.6,1.68,0.137,0.052,0.121,0.042,0.49,0.158
2,859809,1.5492,1.59,0.158,0.036,0.129,0.041,0.481,0.155
2,860809,0.731,1.58,0.145,0.042,0.135,0.039,0.476,0.163
2,861809,0.8906,1.61,0.138,0.045,0.149,0.027,0.478,0.163
2,862809,1.2412,1.51,0.152,0.042,0.133,0.033,0.488,0.152
2,863809,0.786,1.62,0.163,0.049,0.125,0.028,0.48,0.155
2,864809,1.206,1.47,0.168,0.041,0.14,0.037,0.477,0.137
2,865809,-0.432,1.61,0.142,0.061,0.138,0.045,0.475,0.139
2,866809,1.0232,1.55,0.14,0.044,0.156,0.036,0.482,0.142
2,867809,1.195,1.56,0.147,0.057,0.165,0.03,0.466,0.135
2,868809,1.86,1.61,0.137,0.056,0.15,0.038,0.477,0.142
2,869809,-0.356,1.66,0.156,0.043,0.144,0.033,0.484,0.14
2,870809,1.172,1.47,0.159,0.051,0.14,0.04,0.461,0.149
2,871809,0.461,1.68,0.152,0.038,0.127,0.041,0.48,0.162
