timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
220000,2.5254,3.54,0.06,0.511,0.21,0.085,0.046,0.088
221000,2.5898,3.74,0.056,0.457,0.254,0.084,0.049,0.1
222000,3.2566,3.69,0.066,0.488,0.225,0.081,0.047,0.093
223000,0.5068,3.82,0.058,0.491,0.216,0.099,0.033,0.103
224000,2.824,3.4,0.05,0.47,0.239,0.09,0.049,0.102
225000,1.4968,3.67,0.042,0.5,0.26,0.077,0.029,0.092
226000,3.3524,3.66,0.059,0.461,0.228,0.089,0.046,0.117
227000,3.0306,3.61,0.047,0.473,0.245,0.089,0.048,0.098
228000,3.2298,3.82,0.052,0.468,0.258,0.079,0.043,0.1
229000,0.2358,3.86,0.038,0.462,0.273,0.082,0.049,0.096
230000,3.1662,3.53,0.057,0.456,0.245,0.099,0.055,0.088
231000,0.1156,3.52,0.056,0.467,0.21,0.109,0.055,0.103
232000,2.3872,3.6,0.065,0.459,0.236,0.098,0.047,0.095
233000,1.4272,3.52,0.058,0.456,0.258,0.09,0.043,0.095
234000,0.8658,3.47,0.061,0.421,0.27,0.097,0.05,0.101
235000,2.3434,3.66,0.076,0.465,0.237,0.09,0.034,0.098
236000,0.027,3.78,0.07,0.457,0.244,0.09,0.046,0.093
237000,2.3468,3.65,0.066,0.45,0.25,0.103,0.032,0.099
238000,-0.624,3.78,0.08,0.477,0.244,0.083,0.029,0.087
239000,-0.8124,3.71,0.074,0.466,0.25,0.088,0.045,0.077
240000,0.553,3.61,0.073,0.45,0.227,0.098,0.046,0.106
241000,1.317,3.78,0.08,0.47,0.222,0.079,0.052,0.097
242000,3.2894,3.48,0.085,0.44,0.225,0.099,0.053,0.098
243000,0.008,3.52,0.099,0.451,0.225,0.083,0.042,0.1
244000,1.4254,3.71,0.087,0.448,0.231,0.095,0.044,0.095
245000,4.0918,3.55,0.087,0.441,0.219,0.101,0.038,0.114
246000,2.747,3.85,0.105,0.489,0.187,0.088,0.032,0.099
247000,5.898,3.63,0.087,0.458,0.204,0.108,0.031,0.112
248000,6.4362,3.51,0.076,0.469,0.208,0.09,0.035,0.122
249000,4.7896,3.51,0.086,0.43,0.231,0.113,0.035,0.105
250000,1.0066,3.62,0.096,0.432,0.222,0.107,0.047,0.096
251000,0.3878,3.64,0.094,0.468,0.193,0.093,0.046,0.106
252000,1.5442,3.42,0.092,0.462,0.176,0.111,0.049,0.11
253000,2.2952,3.58,0.113,0.458,0.181,0.1,0.033,0.115
254000,2.9764,3.56,0.104,0.444,0.191,0.111,0.04,0.11
255000,3.644,3.52,0.09,0.454,0.22,0.094,0.033,0.109
256000,0.4584,3.77,0.106,0.441,0.21,0.106,0.026,0.111
257000,2.7528,3.55,0.101,0.431,0.208,0.12,0.039,0.101
258000,1.6002,3.65,0.112,0.453,0.187,0.116,0.024,0.108
259000,1.7972,3.74,0.102,0.474,0.186,0.098,0.028,0.112
260000,2.4148,3.57,0.104,0.478,0.179,0.094,0.037,0.108
261000,1.3878,3.5,0.105,0.473,0.184,0.107,0.018,0.113
262000,0.073,3.5,0.105,0.486,0.18,0.099,0.023,0.107
263000,2.078,3.72,0.123,0.441,0.188,0.096,0.039,0.113
264000,-0.2702,3.35,0.123,0.456,0.197,0.097,0.033,0.094
265000,2.1252,3.7,0.103,0.46,0.189,0.101,0.029,0.118
266000,3.6432,3.36,0.124,0.458,0.195,0.091,0.019,0.113
267000,1.7186,3.66,0.124,0.45,0.183,0.097,0.027,0.119
268000,5.7958,3.54,0.101,0.453,0.208,0.097,0.036,0.105
269000,-0.5488,3.66,0.125,0.473,0.172,0.098,0.039,0.093
270000,0.833,3.54,0.133,0.479,0.161,0.096,0.028,0.103
271000,0.573,3.54,0.116,0.461,0.177,0.104,0.037,0.105
272000,-0.3232,3.68,0.145,0.471,0.163,0.095,0.028,0.098
273000,1.3246,3.53,0.143,0.467,0.181,0.086,0.022,0.101
274000,2.4428,3.45,0.132,0.47,0.192,0.083,0.027,0.096
275000,0.7324,3.48,0.118,0.499,0.174,0.095,0.023,0.091
276000,3.1424,3.77,0.145,0.479,0.185,0.072,0.017,0.102
277000,2.7358,3.74,0.151,0.467,0.161,0.08,0.024,0.117
278000,3.692,3.62,0.157,0.457,0.172,0.094,0.026,0.094
279000,0.082,3.54,0.147,0.452,0.181,0.09,0.016,0.114
280000,1.0732,3.4,0.165,0.446,0.185,0.08,0.021,0.103
281000,2.3946,3.61,0.146,0.463,0.184,0.074,0.026,0.107
282000,1.7662,3.61,0.167,0.468,0.161,0.085,0.013,0.106
283000,2.2378,3.48,0.177,0.462,0.144,0.101,0.018,0.098
284000,3.1234,3.51,0.146,0.448,0.175,0.099,0.02,0.112
285000,3.2388,3.62,0.143,0.444,0.165,0.106,0.026,0.116
286000,-0.5132,3.66,0.162,0.47,0.164,0.093,0.018,0.093
287000,3.6662,3.29,0.153,0.443,0.168,0.094,0.033,0.109
288000,2.5202,3.67,0.15,0.452,0.181,0.095,0.016,0.106
289000,1.6606,3.55,0.158,0.446,0.165,0.09,0.024,0.117
290000,1.3396,3.66,0.167,0.437,0.19,0.084,0.02,0.102
291000,0.5306,3.65,0.158,0.46,0.153,0.096,0.021,0.112
292000,2.9644,3.53,0.172,0.446,0.167,0.078,0.035,0.102
293000,0.1888,3.5,0.162,0.432,0.172,0.112,0.023,0.099
294000,2.6164,3.62,0.137,0.446,0.185,0.098,0.023,0.111
295000,-0.006,3.64,0.176,0.466,0.165,0.09,0.015,0.088
296000,2.3732,3.68,0.158,0.469,0.191,0.069,0.024,0.089
297000,2.3932,3.62,0.169,0.483,0.147,0.088,0.016,0.097
298000,0.5358,3.57,0.173,0.487,0.153,0.064,0.02,0.103
299000,2.9794,3.6,0.148,0.452,0.175,0.087,0.02,0.118
300000,3.8116,3.62,0.163,0.467,0.173,0.069,0.015,0.113
301000,0.83,3.36,0.171,0.436,0.175,0.084,0.028,0.106
302000,2.9614,3.27,0.191,0.44,0.149,0.088,0.017,0.115
303000,2.52,3.43,0.176,0.462,0.17,0.077,0.008,0.107
304000,4.4052,3.38,0.173,0.456,0.169,0.069,0.025,0.108
305000,1.0888,3.51,0.186,0.447,0.174,0.081,0.015,0.097
306000,2.0714,3.32,0.181,0.46,0.162,0.068,0.015,0.114
307000,3.7676,3.49,0.175,0.435,0.165,0.083,0.022,0.12
308000,2.2076,3.46,0.19,0.428,0.184,0.08,0.014,0.104
309000,-0.2014,3.6,0.162,0.439,0.164,0.099,0.027,0.109
310000,-0.9366,3.51,0.202,0.436,0.147,0.086,0.017,0.112
311000,2.5066,3.34,0.185,0.421,0.162,0.106,0.02,0.106
312000,3.104,3.54,0.194,0.432,0.16,0.09,0.022,0.102
313000,1.2274,3.47,0.185,0.44,0.158,0.082,0.024,0.111
314000,2.0356,3.28,0.174,0.42,0.194,0.084,0.02,0.108
315000,-0.5806,3.46,0.174,0.41,0.203,0.095,0.014,0.104
316000,3.9736,3.42,0.186,0.417,0.171,0.097,0.023,0.106
317000,4.0022,3.19,0.22,0.423,0.138,0.089,0.025,0.105
318000,0.5104,3.36,0.194,0.408,0.156,0.118,0.016,0.108
319000,-0.1648,3.56,0.204,0.418,0.154,0.1,0.019,0.105
320000,2.7192,3.52,0.223,0.404,0.151,0.091,0.023,0.108
321000,-0.2602,3.55,0.218,0.462,0.117,0.088,0.019,0.096
322000,3.5412,3.21,0.198,0.403,0.162,0.103,0.016,0.118
323000,1.035,3.4,0.214,0.407,0.143,0.1,0.017,0.119
324000,1.8988,3.5,0.194,0.427,0.133,0.109,0.026,0.111
325000,0.3712,3.68,0.198,0.456,0.129,0.086,0.019,0.112
326000,1.3336,3.3,0.195,0.45,0.134,0.094,0.021,0.106
327000,0.6082,3.43,0.19,0.427,0.133,0.104,0.025,0.121
328000,1.2514,3.47,0.212,0.411,0.132,0.104,0.024,0.117
329000,0.942,3.49,0.201,0.439,0.136,0.085,0.015,0.124
330000,0.7452,3.44,0.204,0.436,0.125,0.101,0.022,0.112
331000,3.3804,3.29,0.218,0.424,0.127,0.092,0.025,0.114
332000,1.8434,3.37,0.192,0.427,0.14,0.105,0.02,0.116
333000,1.7204,3.26,0.209,0.398,0.136,0.11,0.013,0.134
334000,0.9064,3.33,0.209,0.395,0.15,0.115,0.017,0.114
335000,5.962,3.56,0.215,0.411,0.143,0.086,0.017,0.128
336000,3.3602,3.39,0.221,0.426,0.119,0.1,0.016,0.118
337000,3.0392,3.22,0.202,0.41,0.14,0.099,0.013,0.136
338000,0.9752,3.29,0.198,0.43,0.134,0.107,0.009,0.122
339000,0.7302,3.15,0.192,0.407,0.157,0.1,0.013,0.131
340000,1.3396,3.28,0.202,0.413,0.128,0.107,0.01,0.14
341000,1.8652,3.25,0.227,0.42,0.125,0.09,0.021,0.117
342000,2.3692,3.32,0.229,0.401,0.114,0.111,0.021,0.124
343000,1.4424,3.27,0.204,0.398,0.155,0.096,0.014,0.133
344000,2.1416,3.1,0.191,0.389,0.146,0.121,0.017,0.136
345000,1.8386,3.43,0.219,0.379,0.155,0.112,0.009,0.126
346000,2.1054,3.28,0.205,0.389,0.17,0.105,0.015,0.116
347000,3.7306,3.25,0.209,0.385,0.162,0.112,0.01,0.122
348000,1.635,3.21,0.208,0.392,0.171,0.098,0.014,0.117
349000,4.2612,2.98,0.219,0.37,0.137,0.118,0.014,0.142
350000,1.6044,3.3,0.229,0.402,0.138,0.103,0.007,0.121
351000,4.4072,3.22,0.195,0.377,0.154,0.116,0.016,0.142
352000,4.554,3.29,0.201,0.401,0.154,0.1,0.022,0.122
353000,3.9588,3.26,0.222,0.395,0.15,0.107,0.011,0.115
354000,2.7724,3.42,0.239,0.404,0.134,0.095,0.012,0.116
355000,3.3736,3.31,0.209,0.395,0.151,0.101,0.012,0.132
356000,3.1458,3.29,0.243,0.39,0.143,0.1,0.008,0.116
357000,2.4668,3.21,0.216,0.39,0.139,0.103,0.01,0.142
358000,1.9464,3.19,0.247,0.36,0.156,0.096,0.015,0.126
359000,4.4898,3.26,0.236,0.419,0.118,0.085,0.014,0.128
360000,-0.1908,3.34,0.227,0.392,0.15,0.091,0.008,0.132
361000,3.3152,3.43,0.245,0.423,0.112,0.079,0.017,0.124
362000,1.4706,3.11,0.225,0.371,0.16,0.115,0.012,0.117
363000,2.9868,3.16,0.223,0.382,0.138,0.115,0.01,0.132
364000,2.6496,3.27,0.242,0.396,0.125,0.096,0.019,0.122
365000,2.0594,3.2,0.237,0.417,0.122,0.096,0.008,0.12
366000,1.969,3.2,0.245,0.405,0.109,0.094,0.018,0.129
367000,1.0248,3.22,0.225,0.384,0.144,0.098,0.014,0.135
368000,1.849,3.1,0.23,0.409,0.12,0.097,0.009,0.135
369000,2.2858,3.26,0.227,0.398,0.131,0.107,0.014,0.123
370000,2.3912,3.18,0.218,0.408,0.126,0.103,0.01,0.135
371000,2.4348,3.19,0.206,0.406,0.13,0.109,0.012,0.137
372000,2.6362,3.19,0.233,0.413,0.123,0.091,0.019,0.121
373000,1.3618,3.32,0.203,0.427,0.129,0.092,0.018,0.131
374000,2.5532,3.37,0.248,0.415,0.124,0.082,0.015,0.116
375000,2.3252,3.22,0.237,0.448,0.108,0.077,0.009,0.121
376000,1.595,3.16,0.229,0.401,0.113,0.104,0.015,0.138
377000,4.9556,3.23,0.229,0.382,0.137,0.099,0.012,0.141
378000,4.1788,3.24,0.212,0.404,0.13,0.09,0.019,0.145
379000,2.5018,3.13,0.231,0.412,0.114,0.094,0.017,0.132
380000,2.6256,3.25,0.246,0.4,0.128,0.088,0.011,0.127
381000,0.9496,3.1,0.261,0.419,0.106,0.078,0.01,0.126
382000,2.2736,3.34,0.273,0.401,0.094,0.092,0.018,0.122
383000,1.3972,2.95,0.255,0.406,0.095,0.09,0.013,0.141
384000,0.9496,3.16,0.259,0.397,0.093,0.088,0.031,0.132
385000,0.8864,3.14,0.254,0.399,0.115,0.091,0.015,0.126
