timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
207000,0.408,1.98,0.111,0.021,0.787,0.044,0.015,0.022
208000,0.072,2.08,0.118,0.018,0.777,0.045,0.016,0.026
209000,-2.372,2.27,0.112,0.018,0.767,0.059,0.022,0.022
210000,-0.816,2.14,0.107,0.02,0.773,0.055,0.02,0.025
211000,0.944,2.06,0.116,0.019,0.784,0.04,0.013,0.028
212000,3.348,2.22,0.135,0.014,0.767,0.042,0.017,0.025
213000,-0.95,2.18,0.12,0.018,0.77,0.055,0.013,0.024
214000,-1.7584,2.19,0.127,0.015,0.758,0.061,0.014,0.025
215000,0.8616,2.23,0.129,0.021,0.764,0.046,0.018,0.022
216000,-4.312,2.2,0.125,0.022,0.768,0.044,0.022,0.019
217000,1.3476,2.05,0.137,0.027,0.742,0.035,0.024,0.035
218000,2.196,2.12,0.134,0.02,0.774,0.036,0.014,0.022
219000,-2.424,2.12,0.125,0.021,0.762,0.036,0.018,0.038
220000,0.948,2.12,0.15,0.028,0.73,0.043,0.015,0.034
221000,2.968,2.13,0.156,0.025,0.75,0.027,0.014,0.028
222000,1.384,2.08,0.133,0.026,0.76,0.037,0.024,0.02
223000,-1.634,2.22,0.131,0.024,0.768,0.035,0.018,0.024
224000,-2.02,2.14,0.14,0.028,0.741,0.042,0.023,0.026
225000,3.6656,2.12,0.13,0.026,0.752,0.049,0.019,0.024
226000,2.424,2.27,0.126,0.037,0.743,0.04,0.02,0.034
227000,-0.396,2.24,0.139,0.044,0.729,0.036,0.018,0.034
228000,1.364,2.16,0.13,0.029,0.748,0.05,0.012,0.031
229000,0.012,2.18,0.133,0.03,0.726,0.064,0.018,0.029
230000,-1.068,2.15,0.131,0.033,0.742,0.058,0.008,0.028
231000,-1.656,2.18,0.121,0.04,0.756,0.046,0.017,0.02
232000,1.192,2.2,0.125,0.028,0.761,0.044,0.015,0.027
233000,-0.64,2.41,0.136,0.017,0.757,0.047,0.013,0.03
234000,-0.412,2.11,0.135,0.022,0.748,0.044,0.017,0.034
235000,1.78,2.12,0.155,0.014,0.733,0.055,0.017,0.026
236000,-0.056,2.21,0.124,0.025,0.755,0.056,0.015,0.025
237000,1.576,2.13,0.125,0.023,0.769,0.044,0.015,0.024
238000,-0.796,2.2,0.145,0.021,0.754,0.047,0.01,0.023
239000,-0.332,2.19,0.12,0.025,0.78,0.045,0.012,0.018
240000,1.322,2.22,0.108,0.026,0.772,0.047,0.018,0.029
241000,1.484,2.2,0.108,0.02,0.791,0.047,0.013,0.021
242000,1.1928,2.22,0.126,0.023,0.776,0.05,0.007,0.018
243000,3.02,2.27,0.116,0.026,0.783,0.045,0.008,0.022
244000,-0.432,2.12,0.128,0.024,0.75,0.053,0.02,0.025
245000,-0.376,2.24,0.117,0.023,0.781,0.049,0.013,0.017
246000,-3.188,2.28,0.118,0.03,0.773,0.046,0.013,0.02
