phase,timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
2,114000,1.23,1.59,0.013,0.058,0.009,0.068,0.491,0.361
2,115000,2.42,1.53,0.016,0.057,0.013,0.074,0.475,0.365
2,116000,1.506,1.57,0.017,0.071,0.015,0.074,0.471,0.352
2,117000,2.876,1.58,0.017,0.064,0.016,0.049,0.491,0.363
2,118000,1.4236,1.56,0.016,0.07,0.025,0.051,0.478,0.36
2,119000,0.856,1.61,0.021,0.065,0.023,0.053,0.472,0.366
2,120000,1.6912,1.6,0.008,0.072,0.016,0.041,0.496,0.367
2,121000,0.138,1.58,0.014,0.056,0.019,0.04,0.504,0.367
2,122000,0.052,1.63,0.013,0.072,0.012,0.036,0.5,0.367
2,123000,1.1904,1.55,0.008,0.065,0.021,0.039,0.509,0.358
2,124000,1.3308,1.6,0.019,0.055,0.026,0.031,0.504,0.365
2,125000,1.8348,1.6,0.013,0.071,0.025,0.035,0.483,0.373
2,126000,1.4112,1.58,0.021,0.066,0.032,0.025,0.498,0.358
2,127000,0.636,1.61,0.012,0.065,0.022,0.029,0.509,0.363
2,128000,1.3292,1.6,0.027,0.067,0.022,0.026,0.486,0.372
2,129000,1.2856,1.6,0.019,0.069,0.015,0.041,0.494,0.362
2,130000,1.9992,1.67,0.02,0.08,0.017,0.033,0.484,0.366
2,131000,1.2928,1.58,0.008,0.068,0.013,0.049,0.496,0.366
2,132000,1.5652,1.58,0.013,0.057,0.017,0.047,0.513,0.353
2,133000,2.1692,1.58,0.012,0.076,0.026,0.048,0.483,0.355
2,134000,0.5092,1.56,0.014,0.084,0.022,0.052,0.469,0.359
2,135000,1.5084,1.56,0.018,0.069,0.033,0.074,0.445,0.361
2,136000,1.7424,1.58,0.019,0.075,0.023,0.071,0.453,0.359
2,137000,1.8312,1.57,0.017,0.069,0.021,0.073,0.459,0.361
2,138000,0.8492,1.57,0.017,0.063,0.019,0.056,0.475,0.37
2,139000,1.5908,1.53,0.02,0.08,0.021,0.063,0.462,0.354
2,140000,0.7144,1.61,0.021,0.068,0.009,0.081,0.459,0.362
