phase,timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
2,225401,0.574,1.72,0.079,0.09,0.093,0.013,0.48,0.245
2,226401,0.0692,1.66,0.082,0.081,0.083,0.003,0.49,0.261
2,227401,1.728,1.69,0.071,0.077,0.067,0.008,0.51,0.267
2,228401,0.1772,1.67,0.083,0.072,0.087,0.008,0.491,0.259
2,229401,2.204,1.73,0.084,0.077,0.074,0.009,0.497,0.259
2,230401,1.14,1.74,0.072,0.083,0.095,0.003,0.492,0.255
2,231401,0.068,1.61,0.081,0.075,0.075,0.009,0.504,0.256
2,232401,0.904,1.65,0.079,0.074,0.088,0.008,0.501,0.25
2,233401,-0.7728,1.67,0.077,0.082,0.067,0.009,0.52,0.245
2,234401,-0.194,1.72,0.092,0.082,0.093,0.009,0.483,0.241
2,235401,-0.0052,1.65,0.08,0.073,0.101,0.009,0.483,0.254
2,236401,0.0052,1.63,0.089,0.072,0.093,0.007,0.51,0.229
2,237401,1.1392,1.78,0.073,0.087,0.094,0.006,0.495,0.245
2,238401,-0.3488,1.58,0.081,0.072,0.073,0.014,0.519,0.241
2,239401,0.472,1.72,0.076,0.067,0.079,0.005,0.522,0.251
2,240401,0.206,1.62,0.072,0.066,0.079,0.006,0.529,0.248
2,241401,-0.494,1.67,0.087,0.085,0.09,0.002,0.497,0.239
2,242401,1.412,1.72,0.066,0.09,0.1,0.003,0.498,0.243
2,243401,0.054,1.71,0.073,0.076,0.091,0.01,0.497,0.253
2,244401,1.7536,1.78,0.066,0.1,0.089,0.009,0.493,0.243
2,245401,-0.888,1.73,0.076,0.087,0.097,0.009,0.497,0.234
2,246401,0.0904,1.73,0.073,0.074,0.091,0.008,0.493,0.261
2,247401,-0.1092,1.73,0.066,0.097,0.108,0.009,0.477,0.243
2,248401,-1.2848,1.74,0.062,0.085,0.098,0.013,0.482,0.26
2,249401,1.184,1.75,0.066,0.094,0.087,0.012,0.494,0.247
2,250401,0.646,1.8,0.071,0.091,0.106,0.005,0.477,0.25
2,251401,1.6916,1.69,0.069,0.09,0.102,0.006,0.488,0.245
2,252401,2.632,1.73,0.066,0.083,0.096,0.01,0.495,0.25
2,253401,2.228,1.7,0.073,0.087,0.101,0.009,0.487,0.243
2,254401,1.4132,1.71,0.067,0.087,0.096,0.01,0.475,0.265
2,255401,1.7392,1.7,0.082,0.081,0.121,0.012,0.463,0.241
2,256401,2.4448,1.76,0.072,0.093,0.11,0.018,0.466,0.241
2,257401,1.2292,1.72,0.06,0.091,0.099,0.013,0.486,0.251
2,258401,-1.42,1.73,0.069,0.097,0.114,0.025,0.457,0.238
2,259401,0.5088,1.7,0.058,0.091,0.11,0.022,0.478,0.241
2,260401,1.21,1.68,0.08,0.095,0.116,0.014,0.465,0.23
2,261401,1.234,1.75,0.066,0.097,0.117,0.015,0.461,0.244
2,262401,1.2228,1.7,0.056,0.088,0.109,0.023,0.458,0.266
2,263401,2.332,1.72,0.079,0.083,0.119,0.021,0.445,0.253
2,264401,-0.3436,1.8,0.06,0.088,0.12,0.021,0.447,0.264
2,265401,1.2824,1.7,0.088,0.087,0.123,0.019,0.451,0.232
2,266401,3.084,1.71,0.079,0.091,0.114,0.021,0.446,0.249
2,267401,0.1396,1.77,0.09,0.088,0.115,0.016,0.445,0.246
2,268401,-0.1984,1.7,0.116,0.085,0.12,0.016,0.444,0.219
2,269401,-0.936,1.69,0.076,0.087,0.109,0.014,0.462,0.252
2,270401,0.43,1.72,0.084,0.099,0.137,0.012,0.426,0.242
2,271401,0.2444,1.7,0.067,0.092,0.126,0.012,0.449,0.254
2,272401,0.3108,1.75,0.081,0.078,0.114,0.011,0.455,0.261
2,273401,1.5024,1.78,0.085,0.084,0.114,0.015,0.439,0.263
2,274401,0.394,1.78,0.094,0.09,0.11,0.019,0.428,0.259
2,275401,1.802,1.65,0.088,0.082,0.12,0.02,0.441,0.249
2,276401,-1.3608,1.82,0.09,0.088,0.126,0.024,0.433,0.239
2,277401,1.2352,1.68,0.087,0.102,0.119,0.017,0.452,0.223
2,278401,0.052,1.69,0.1,0.078,0.117,0.013,0.44,0.252
2,279401,1.1932,1.73,0.092,0.095,0.122,0.016,0.44,0.235
2,280401,0.1952,1.76,0.09,0.086,0.106,0.01,0.458,0.25
2,281401,0.05,1.75,0.072,0.102,0.108,0.021,0.44,0.257
2,282401,1.9008,1.74,0.069,0.098,0.106,0.021,0.443,0.263
2,283401,-0.698,1.72,0.075,0.091,0.094,0.017,0.458,0.265
2,284401,0.752,1.66,0.073,0.085,0.106,0.017,0.454,0.265
2,285401,-0.666,1.68,0.094,0.086,0.113,0.019,0.44,0.248
2,286401,-0.9688,1.68,0.098,0.088,0.123,0.017,0.432,0.242
2,287401,1.608,1.64,0.081,0.09,0.112,0.02,0.448,0.249
2,288401,-0.132,1.76,0.088,0.096,0.121,0.021,0.425,0.249
2,289401,1.226,1.67,0.102,0.093,0.127,0.02,0.414,0.244
2,290401,-0.022,1.72,0.108,0.086,0.107,0.02,0.433,0.246
2,291401,-0.828,1.68,0.085,0.084,0.119,0.017,0.454,0.241
2,292401,-0.1648,1.55,0.098,0.099,0.111,0.017,0.441,0.234
2,293401,-0.596,1.63,0.097,0.083,0.107,0.019,0.457,0.237
2,294401,2.6392,1.75,0.09,0.09,0.108,0.019,0.447,0.246
2,295401,-0.29,1.69,0.111,0.079,0.101,0.018,0.451,0.24
2,296401,0.6304,1.61,0.121,0.073,0.087,0.023,0.459,0.237
2,297401,-1.5512,1.68,0.112,0.088,0.111,0.023,0.441,0.225
2,298401,-0.406,1.65,0.098,0.08,0.099,0.028,0.453,0.242
2,299401,-0.5992,1.69,0.115,0.083,0.103,0.024,0.451,0.224
2,300401,-0.2304,1.62,0.139,0.086,0.107,0.026,0.437,0.205
2,301401,-0.6068,1.66,0.125,0.076,0.087,0.017,0.463,0.232
2,302401,-0.1008,1.63,0.096,0.082,0.088,0.024,0.475,0.235
2,303401,-0.7728,1.66,0.119,0.08,0.096,0.028,0.453,0.224
2,304401,-0.2008,1.67,0.115,0.071,0.092,0.026,0.467,0.229
2,305401,0.2388,1.56,0.131,0.095,0.107,0.023,0.433,0.211
2,306401,1.622,1.62,0.108,0.086,0.105,0.028,0.442,0.231
2,307401,0.3042,1.67,0.113,0.08,0.102,0.021,0.466,0.218
2,308401,1.4908,1.75,0.12,0.092,0.103,0.023,0.434,0.228
2,309401,1.3296,1.59,0.123,0.087,0.114,0.028,0.43,0.218
2,310401,-1.0772,1.63,0.111,0.086,0.111,0.024,0.448,0.22
2,311401,1.2112,1.64,0.142,0.075,0.092,0.025,0.447,0.219
2,312401,-0.8712,1.71,0.141,0.076,0.092,0.023,0.465,0.203
2,313401,-0.1408,1.64,0.123,0.072,0.104,0.028,0.443,0.23
2,314401,2.0156,1.56,0.119,0.082,0.115,0.024,0.446,0.214
